_id,trimestre,pais,tipo_de_mercado,servicio,concepto,operador,tipo_de_ingreso,tipo_de_paquete,unidades,ingresos,ingresos_por_operador,empleados_por_operador,paquetes
143,2006T2,España,Servicio mayorista,Datos generales,Ingresos,N/A,Transmisión de datos,N/A,Millones de euros,17.07,,,
144,2006T2,España,Servicio mayorista,Datos generales,Ingresos,N/A,Transporte y difusión de la señal audiovisual,N/A,Millones de euros,78.88,,,
145,2006T2,España,Servicio mayorista,Datos generales,Ingresos,Orange,N/A,N/A,Millones de euros,,281.04,,
146,2006T2,España,Servicio mayorista,Datos generales,Ingresos,Resto,N/A,N/A,Millones de euros,,229.58,,
147,2006T2,España,Servicio mayorista,Datos generales,Ingresos,Vodafone,N/A,N/A,Millones de euros,,391.38,,
148,2006T2,España,Servicio minorista,Datos generales,Ingresos,Movistar,N/A,N/A,Millones de euros,,4158.68,,
149,2006T2,España,Servicio minorista,Datos generales,Ingresos,N/A,Banda ancha fija,N/A,Millones de euros,670.49,,,
150,2006T2,España,Servicio minorista,Datos generales,Ingresos,N/A,Banda Ancha móvil,N/A,Millones de euros,102.93,,,
151,2006T2,España,Servicio minorista,Datos generales,Ingresos,N/A,Comunicaciones de Empresa,N/A,Millones de euros,279.43,,,
152,2006T2,España,Servicio minorista,Datos generales,Ingresos,N/A,Otros servicios minoristas,N/A,Millones de euros,267.11,,,
153,2006T2,España,Servicio minorista,Datos generales,Ingresos,N/A,Servicios audiovisuales,N/A,Millones de euros,1465.42,,,
154,2006T2,España,Servicio minorista,Datos generales,Ingresos,N/A,Servicios de información telefónica,N/A,Millones de euros,27.87,,,
155,2006T2,España,Servicio minorista,Datos generales,Ingresos,N/A,Telefonía fija,N/A,Millones de euros,1866.21,,,
156,2006T2,España,Servicio minorista,Datos generales,Ingresos,N/A,Telefonía móvil,N/A,Millones de euros,3177.27,,,
157,2006T2,España,Servicio minorista,Datos generales,Ingresos,N/A,Venta y alquiler de terminales,N/A,Millones de euros,579.17,,,
158,2006T2,España,Servicio minorista,Datos generales,Ingresos,Orange,N/A,N/A,Millones de euros,,780.77,,
159,2006T2,España,Servicio minorista,Datos generales,Ingresos,Resto,N/A,N/A,Millones de euros,,2164.75,,
160,2006T2,España,Servicio minorista,Datos generales,Ingresos,Vodafone,N/A,N/A,Millones de euros,,1331.68,,
161,2006T3,España,N/A,Datos generales,Número de empleados,Canal Sur (RTVA),N/A,N/A,Unidades,,,1008.0,
162,2006T3,España,N/A,Datos generales,Número de empleados,Movistar,N/A,N/A,Unidades,,,36110.0,
163,2006T3,España,N/A,Datos generales,Número de empleados,Ono,N/A,N/A,Unidades,,,4519.0,
164,2006T3,España,N/A,Datos generales,Número de empleados,Orange,N/A,N/A,Unidades,,,3854.0,
165,2006T3,España,N/A,Datos generales,Número de empleados,Resto,N/A,N/A,Unidades,,,16021.0,
166,2006T3,España,N/A,Datos generales,Número de empleados,RTVE,N/A,N/A,Unidades,,,9315.0,
167,2006T3,España,N/A,Datos generales,Número de empleados,Televisió de Catalunya,N/A,N/A,Unidades,,,1935.0,
168,2006T3,España,N/A,Datos generales,Número de empleados,Vodafone,N/A,N/A,Unidades,,,4467.0,
169,2006T3,España,Servicio mayorista,Datos generales,Ingresos,Movistar,N/A,N/A,Millones de euros,,860.35,,
170,2006T3,España,Servicio mayorista,Datos generales,Ingresos,N/A,Alquiler de circuitos,N/A,Millones de euros,106.72,,,
171,2006T3,España,Servicio mayorista,Datos generales,Ingresos,N/A,Banda ancha fija mayorista,N/A,Millones de euros,93.73,,,
172,2006T3,España,Servicio mayorista,Datos generales,Ingresos,N/A,Interconexión fija,N/A,Millones de euros,329.6,,,
173,2006T3,España,Servicio mayorista,Datos generales,Ingresos,N/A,Interconexión móvil,N/A,Millones de euros,1189.95,,,
174,2006T3,España,Servicio mayorista,Datos generales,Ingresos,N/A,Otros servicios mayoristas,N/A,Millones de euros,42.18,,,
175,2006T3,España,Servicio mayorista,Datos generales,Ingresos,N/A,Transmisión de datos,N/A,Millones de euros,14.68,,,
176,2006T3,España,Servicio mayorista,Datos generales,Ingresos,N/A,Transporte y difusión de la señal audiovisual,N/A,Millones de euros,84.67,,,
177,2006T3,España,Servicio mayorista,Datos generales,Ingresos,Orange,N/A,N/A,Millones de euros,,300.88,,
178,2006T3,España,Servicio mayorista,Datos generales,Ingresos,Resto,N/A,N/A,Millones de euros,,253.8,,
179,2006T3,España,Servicio mayorista,Datos generales,Ingresos,Vodafone,N/A,N/A,Millones de euros,,446.51,,
180,2006T3,España,Servicio minorista,Datos generales,Ingresos,Movistar,N/A,N/A,Millones de euros,,4393.21,,
181,2006T3,España,Servicio minorista,Datos generales,Ingresos,N/A,Banda ancha fija,N/A,Millones de euros,730.56,,,
182,2006T3,España,Servicio minorista,Datos generales,Ingresos,N/A,Banda Ancha móvil,N/A,Millones de euros,135.64,,,
183,2006T3,España,Servicio minorista,Datos generales,Ingresos,N/A,Comunicaciones de Empresa,N/A,Millones de euros,311.75,,,
184,2006T3,España,Servicio minorista,Datos generales,Ingresos,N/A,Otros servicios minoristas,N/A,Millones de euros,273.11,,,
185,2006T3,España,Servicio minorista,Datos generales,Ingresos,N/A,Servicios audiovisuales,N/A,Millones de euros,1002.01,,,
186,2006T3,España,Servicio minorista,Datos generales,Ingresos,N/A,Servicios de información telefónica,N/A,Millones de euros,29.21,,,
187,2006T3,España,Servicio minorista,Datos generales,Ingresos,N/A,Telefonía fija,N/A,Millones de euros,1828.65,,,
188,2006T3,España,Servicio minorista,Datos generales,Ingresos,N/A,Telefonía móvil,N/A,Millones de euros,3363.82,,,
189,2006T3,España,Servicio minorista,Datos generales,Ingresos,N/A,Venta y alquiler de terminales,N/A,Millones de euros,532.45,,,
190,2006T3,España,Servicio minorista,Datos generales,Ingresos,Orange,N/A,N/A,Millones de euros,,766.46,,
191,2006T3,España,Servicio minorista,Datos generales,Ingresos,Resto,N/A,N/A,Millones de euros,,1681.23,,
192,2006T3,España,Servicio minorista,Datos generales,Ingresos,Vodafone,N/A,N/A,Millones de euros,,1366.29,,
193,2006T4,España,N/A,Datos generales,Número de empleados,Canal Sur (RTVA),N/A,N/A,Unidades,,,1004.0,
194,2006T4,España,N/A,Datos generales,Número de empleados,Movistar,N/A,N/A,Unidades,,,35645.0,
195,2006T4,España,N/A,Datos generales,Número de empleados,Ono,N/A,N/A,Unidades,,,4689.0,
196,2006T4,España,N/A,Datos generales,Número de empleados,Orange,N/A,N/A,Unidades,,,3803.0,
197,2006T4,España,N/A,Datos generales,Número de empleados,Resto,N/A,N/A,Unidades,,,14946.0,
198,2006T4,España,N/A,Datos generales,Número de empleados,RTVE,N/A,N/A,Unidades,,,8494.0,
199,2006T4,España,N/A,Datos generales,Número de empleados,Televisió de Catalunya,N/A,N/A,Unidades,,,2003.0,
200,2006T4,España,N/A,Datos generales,Número de empleados,Vodafone,N/A,N/A,Unidades,,,4474.0,
201,2006T4,España,Servicio mayorista,Datos generales,Ingresos,Movistar,N/A,N/A,Millones de euros,,846.21,,
202,2006T4,España,Servicio mayorista,Datos generales,Ingresos,N/A,Alquiler de circuitos,N/A,Millones de euros,140.5,,,
203,2006T4,España,Servicio mayorista,Datos generales,Ingresos,N/A,Banda ancha fija mayorista,N/A,Millones de euros,87.4,,,
204,2006T4,España,Servicio mayorista,Datos generales,Ingresos,N/A,Interconexión fija,N/A,Millones de euros,365.73,,,
205,2006T4,España,Servicio mayorista,Datos generales,Ingresos,N/A,Interconexión móvil,N/A,Millones de euros,1002.57,,,
206,2006T4,España,Servicio mayorista,Datos generales,Ingresos,N/A,Otros servicios mayoristas,N/A,Millones de euros,41.54,,,
207,2006T4,España,Servicio mayorista,Datos generales,Ingresos,N/A,Transmisión de datos,N/A,Millones de euros,13.49,,,
208,2006T4,España,Servicio mayorista,Datos generales,Ingresos,N/A,Transporte y difusión de la señal audiovisual,N/A,Millones de euros,83.37,,,
209,2006T4,España,Servicio mayorista,Datos generales,Ingresos,Orange,N/A,N/A,Millones de euros,,263.91,,
210,2006T4,España,Servicio mayorista,Datos generales,Ingresos,Resto,N/A,N/A,Millones de euros,,249.15,,
211,2006T4,España,Servicio mayorista,Datos generales,Ingresos,Vodafone,N/A,N/A,Millones de euros,,375.33,,
212,2006T4,España,Servicio minorista,Datos generales,Ingresos,Movistar,N/A,N/A,Millones de euros,,4379.44,,
213,2006T4,España,Servicio minorista,Datos generales,Ingresos,N/A,Banda ancha fija,N/A,Millones de euros,720.87,,,
214,2006T4,España,Servicio minorista,Datos generales,Ingresos,N/A,Banda Ancha móvil,N/A,Millones de euros,134.49,,,
215,2006T4,España,Servicio minorista,Datos generales,Ingresos,N/A,Comunicaciones de Empresa,N/A,Millones de euros,300.63,,,
216,2006T4,España,Servicio minorista,Datos generales,Ingresos,N/A,Otros servicios minoristas,N/A,Millones de euros,279.0,,,
217,2006T4,España,Servicio minorista,Datos generales,Ingresos,N/A,Servicios audiovisuales,N/A,Millones de euros,1501.45,,,
218,2006T4,España,Servicio minorista,Datos generales,Ingresos,N/A,Servicios de información telefónica,N/A,Millones de euros,29.81,,,
219,2006T4,España,Servicio minorista,Datos generales,Ingresos,N/A,Telefonía fija,N/A,Millones de euros,1853.05,,,
220,2006T4,España,Servicio minorista,Datos generales,Ingresos,N/A,Telefonía móvil,N/A,Millones de euros,3375.43,,,
221,2006T4,España,Servicio minorista,Datos generales,Ingresos,N/A,Venta y alquiler de terminales,N/A,Millones de euros,589.74,,,
222,2006T4,España,Servicio minorista,Datos generales,Ingresos,Orange,N/A,N/A,Millones de euros,,757.64,,
223,2006T4,España,Servicio minorista,Datos generales,Ingresos,Resto,N/A,N/A,Millones de euros,,2196.37,,
224,2006T4,España,Servicio minorista,Datos generales,Ingresos,Vodafone,N/A,N/A,Millones de euros,,1451.02,,
225,2007T1,España,N/A,Datos generales,Número de empleados,Canal Sur (RTVA),N/A,N/A,Unidades,,,999.0,
226,2007T1,España,N/A,Datos generales,Número de empleados,Movistar,N/A,N/A,Unidades,,,35303.0,
227,2007T1,España,N/A,Datos generales,Número de empleados,Ono,N/A,N/A,Unidades,,,4532.0,
228,2007T1,España,N/A,Datos generales,Número de empleados,Orange,N/A,N/A,Unidades,,,3752.0,
229,2007T1,España,N/A,Datos generales,Número de empleados,Resto,N/A,N/A,Unidades,,,18205.0,
230,2007T1,España,N/A,Datos generales,Número de empleados,RTVE,N/A,N/A,Unidades,,,5037.0,
231,2007T1,España,N/A,Datos generales,Número de empleados,Televisió de Catalunya,N/A,N/A,Unidades,,,1990.0,
232,2007T1,España,N/A,Datos generales,Número de empleados,Vodafone,N/A,N/A,Unidades,,,4340.0,
