periodo,provincia,ccaa,operador,tecnologia_de_acceso,servicio,id,anno,concepto,tecnologia_de_acceso_baf,tipo_de_estaciones_base,tipo_de_ba_mayorista,unidades,lineas_o_accesos,estaciones_base,tasa_de_penetracion
2007-01-01,Badajoz,Extremadura,Otros,nan,Banda ancha fija,309,4014,Líneas,Líneas banda ancha HFC,nan,nan,Unidades,27.0,0.0,0.0
2007-01-01,Badajoz,Extremadura,Otros,nan,Telefonía fija,168,2007,Líneas,nan,nan,nan,Unidades,2730.0,0.0,0.4
2007-01-01,Badajoz,Extremadura,Orange,nan,Banda ancha fija,156,2007,Líneas,Líneas banda ancha xDSL,nan,nan,Unidades,19055.0,0.0,2.8
2007-01-01,Badajoz,Extremadura,Orange,nan,Telefonía fija,169,2007,Líneas,nan,nan,nan,Unidades,952.0,0.0,0.1
2007-01-01,Badajoz,Extremadura,Orange,nan,Telefonía móvil,173,2007,Líneas,nan,nan,nan,Unidades,122609.0,0.0,18.2
2007-01-01,Badajoz,Extremadura,Otros,nan,Banda ancha fija,157,2007,Líneas,Líneas banda ancha xDSL,nan,nan,Unidades,1.0,0.0,0.0
2007-01-01,Badajoz,Extremadura,Resto,nan,Banda ancha fija,477,6021,Líneas,Líneas banda ancha HFC,nan,nan,Unidades,3440.0,0.0,0.5
2007-01-01,Badajoz,Extremadura,Resto,nan,Telefonía fija,170,2007,Líneas,nan,nan,nan,Unidades,1051.0,0.0,0.2
2007-01-01,Badajoz,Extremadura,Resto,nan,Telefonía móvil,174,2007,Líneas,nan,nan,nan,Unidades,2285.0,0.0,0.3
2007-01-01,Badajoz,Extremadura,Vodafone,nan,Banda ancha fija,161,2007,Líneas,Líneas banda ancha xDSL,nan,nan,Unidades,1767.0,0.0,0.3
2007-01-01,Badajoz,Extremadura,Vodafone,nan,Telefonía fija,171,2007,Líneas,nan,nan,nan,Unidades,2232.0,0.0,0.3
2007-01-01,Badajoz,Extremadura,Vodafone,nan,Telefonía móvil,175,2007,Líneas,nan,nan,nan,Unidades,92427.0,0.0,13.7
2007-01-01,Badajoz,Extremadura,nan,Accesos instalados FTTH y FTTN,Accesos instalados,151,2007,Nº de accesos  por tipo de acceso,nan,nan,nan,Unidades,3794.0,0.0,0.6
2007-01-01,Badajoz,Extremadura,nan,nan,Estaciones Base,489,6021,Nº de estaciones base en redes de acceso móvil,nan,Estaciones base GPRS,nan,Unidades,0.0,854.0,0.0
2007-01-01,Badajoz,Extremadura,nan,nan,Servicios audiovisuales,165,2007,Abonados,nan,nan,nan,Unidades,30040.0,0.0,4.5
2007-01-01,Balears. Illes,Balears. Illes,Otros,nan,Banda ancha fija,177,2007,Líneas,Líneas banda ancha xDSL,nan,nan,Unidades,4530.0,0.0,0.5
2007-01-01,Balears. Illes,Balears. Illes,Otros,nan,Telefonía fija,190,2007,Líneas,nan,nan,nan,Unidades,3678.0,0.0,0.4
2007-01-01,Balears. Illes,Balears. Illes,Movistar,nan,Banda ancha fija,178,2007,Líneas,Líneas banda ancha xDSL,nan,nan,Unidades,144740.0,0.0,14.4
2007-01-01,Balears. Illes,Balears. Illes,Movistar,nan,Telefonía fija,191,2007,Líneas,nan,nan,nan,Unidades,436347.0,0.0,43.4
2007-01-01,Balears. Illes,Balears. Illes,Movistar,nan,Telefonía móvil,196,2007,Líneas,nan,nan,nan,Unidades,277279.0,0.0,27.6
2007-01-01,Balears. Illes,Balears. Illes,Otros,nan,Banda ancha fija,359,4014,Líneas,Líneas banda ancha HFC,nan,nan,Unidades,49706.0,0.0,4.9
2007-01-01,Balears. Illes,Balears. Illes,Otros,nan,Telefonía fija,192,2007,Líneas,nan,nan,nan,Unidades,71834.0,0.0,7.1
2007-01-01,Balears. Illes,Balears. Illes,Orange,nan,Banda ancha fija,181,2007,Líneas,Líneas banda ancha xDSL,nan,nan,Unidades,18716.0,0.0,1.9
2007-01-01,Balears. Illes,Balears. Illes,Orange,nan,Telefonía fija,193,2007,Líneas,nan,nan,nan,Unidades,702.0,0.0,0.1
2007-01-01,Balears. Illes,Balears. Illes,Orange,nan,Telefonía móvil,197,2007,Líneas,nan,nan,nan,Unidades,93289.0,0.0,9.3
2007-01-01,Balears. Illes,Balears. Illes,Otros,nan,Banda ancha fija,182,2007,Líneas,Líneas banda ancha xDSL,nan,nan,Unidades,3.0,0.0,0.0
