periodo,operador,id,anno,pais,tipo_de_mercado,servicio,concepto,tipo_de_ingreso,tipo_de_cliente,segmento,tipo_de_trafico,tipo_de_contrato,tipo_de_linea,tipo_de_mensaje,tipo_de_trafico_de_mensaje,tecnologia_de_acceso,velocidad_baf,tipo_de_oferta,tipo_de_tarifa,tipo_de_ce_minorista,tipo_de_circuito,tipo_de_emision,tipo_de_operador,tipo_de_medio,tipo_de_publicidad,tipo_de_contratacion,tipo_servicio_audiovisual_mayorista,tipo_de_ba_may,tipo_de_interconexion,tipo_de_tarificacion_en_interconexion,tipo_de_transmision_de_datos,tipo_de_ambito,tipo_de_acceso_de_infraestructuras,unidades,ingresos,ingresos_por_operador,clientes,clientes_por_operador,lineas_o_accesos,tasa_de_penetracion,lineas_o_accesos_por_operador,portabilidades,trafico,trafico_por_operador,mensajes,mensajes_por_operador_1,trafico_de_datos,trafico_de_datos_por_operador,circuitos,publicidad,contrataciones,fibra_oscura_por_operador,telefonos_publicos,cabinas,estaciones_base_por_operador,anio
,,207276,84462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1956.87,0.0,317425.0,0.0,0.0,2555493.0,0.0,0.0,23109.9,0.0,89.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011
,,19518,8044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.8,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011
,,35324,14077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,39.25,0.0,0.0,0.0,0.0,119600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011
,,4851,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,11.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011
,,9762,4022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,23.5,0.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011
,,4949,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,76.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011
,,4950,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,30.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011
,,142804,56308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,5077.04,0.0,1209103.0,0.0,0.0,22278663.0,0.0,0.0,42494.21,0.0,5017.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011
,,61488,24132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,627.78,0.0,0.0,0.0,0.0,3610152.0,0.0,0.0,4878.349999999999,0.0,690.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011
,,1824876,736026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39592.09,8178.1,15660497.0,0.0,155734435.0,333.1,20753279.0,7492764.0,246271.85,0.0,14609.3,0.0,3515086.41,3515086.41,205440.0,4355585.0,10372289.0,0.0,51617.0,29770.0,98533.0,2011
,,5755,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,30.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012
,,5485,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012
,,5546,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,575.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012
,,22026,8048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,20.73,0.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012
,,5392,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,10.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012
,,27427,10060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,285.75,0.0,587.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012
,,5486,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,7.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012
