periodo,provincia,ccaa,operador,tecnologia_de_acceso,servicio,id,anno,concepto,tecnologia_de_acceso_baf,tipo_de_estaciones_base,tipo_de_ba_mayorista,unidades,lineas_o_accesos,estaciones_base,tasa_de_penetracion,anio
,,,,,,421,2007,,,,,,57693.0,0.0,7.3,2007
,,,,,,435,2007,,,,,,234967.0,0.0,29.9,2007
,,,,,,440,2007,,,,,,180464.0,0.0,22.9,2007
,,,,,,845,4014,,,,,,21462.0,0.0,2.7,2007
,,,,,,436,2007,,,,,,27029.0,0.0,3.4,2007
,,,,,,424,2007,,,,,,14587.0,0.0,1.9,2007
,,,,,,437,2007,,,,,,1271.0,0.0,0.2,2007
,,,,,,441,2007,,,,,,91998.0,0.0,11.7,2007
,,,,,,425,2007,,,,,,3.0,0.0,0.0,2007
,,,,,,1281,6021,,,,,,8172.0,0.0,1.0,2007
,,,,,,438,2007,,,,,,8331.0,0.0,1.1,2007
,,,,,,442,2007,,,,,,3284.0,0.0,0.4,2007
,,,,,,429,2007,,,,,,4176.0,0.0,0.5,2007
,,,,,,439,2007,,,,,,5237.0,0.0,0.7,2007
,,,,,,443,2007,,,,,,153468.0,0.0,19.5,2007
,,,,,,418,2007,,,,,,2845.0,0.0,0.4,2007
,,,,,,1293,6021,,,,,,0.0,1068.0,0.0,2007
,,,,,,433,2007,,,,,,54597.0,0.0,6.9,2007
,,,,,,1488,6021,,,,,,52947.0,0.0,7.7,2007
,,,,,,511,2007,,,,,,109439.0,0.0,15.8,2007
,,,,,,997,4014,,,,,,1958.0,0.0,0.3,2007
,,,,,,512,2007,,,,,,1794.0,0.0,0.3,2007
,,,,,,500,2007,,,,,,56850.0,0.0,8.2,2007
,,,,,,513,2007,,,,,,234176.0,0.0,33.8,2007
,,,,,,518,2007,,,,,,196124.0,0.0,28.3,2007
,,,,,,501,2007,,,,,,1.0,0.0,0.0,2007
,,,,,,514,2007,,,,,,780.0,0.0,0.1,2007
,,,,,,502,2007,,,,,,11150.0,0.0,1.6,2007
,,,,,,515,2007,,,,,,740.0,0.0,0.1,2007
,,,,,,519,2007,,,,,,20192.0,0.0,2.9,2007
,,,,,,503,2007,,,,,,2.0,0.0,0.0,2007
,,,,,,1009,4014,,,,,,743.0,0.0,0.1,2007
,,,,,,516,2007,,,,,,917.0,0.0,0.1,2007
,,,,,,520,2007,,,,,,52754.0,0.0,7.6,2007
,,,,,,506,2007,,,,,,2718.0,0.0,0.4,2007
,,,,,,517,2007,,,,,,3405.0,0.0,0.5,2007
,,,,,,521,2007,,,,,,115839.0,0.0,16.7,2007
,,,,,,494,2007,,,,,,1128.0,0.0,0.2,2007
