anio,fecha,operador,mercado,servicio,tipo_de_ingreso,ingresos,id,pais,concepto,tipo_de_paquete,unidades,ingresos_por_operador,empleados_por_operador,paquetes,inversiones_por_operador,gastos_por_operador
2014,2014-01-01,Otros,nan,Datos generales,nan,0,646,España,Inversiones en infraestr de telec y serv audiov,nan,Millones de euros,0.0,0,0.0,26.93,0.0
8056,2014-01-01,Otros,nan,Datos generales,nan,0,2620,España,Gastos de explotación,nan,Millones de euros,17.87,660,0.0,0.65,1.73
2014,2014-01-01,Otros,nan,Datos generales,nan,0,637,España,Gastos de explotación,nan,Millones de euros,0.0,0,0.0,0.0,23.58
2014,2014-01-01,Otros,nan,Datos generales,nan,0,648,España,Inversiones en infraestr de telec y serv audiov,nan,Millones de euros,0.0,0,0.0,188.37,0.0
10070,2014-01-01,Movistar,nan,Datos generales,nan,0,3295,España,Gastos de explotación,nan,Millones de euros,12474.830000000002,262300,0.0,1719.38,193.88
4028,2014-01-01,Otros,nan,Datos generales,nan,0,1296,España,Gastos de explotación,nan,Millones de euros,0.0,24250,0.0,0.0,28.27
10070,2014-01-01,Orange,nan,Datos generales,nan,0,3319,España,Gastos de explotación,nan,Millones de euros,3907.2,40080,0.0,587.77,56.31
4028,2014-01-01,Otros,nan,Datos generales,nan,0,1312,España,Inversiones en infraestr de telec y serv audiov,nan,Millones de euros,0.0,63020,0.0,25.78,0.0
10070,2014-01-01,Resto,nan,Datos generales,nan,0,3324,España,Gastos de explotación,nan,Millones de euros,10174.15,185030,0.0,1696.35,68.99
2014,2014-01-01,Otros,nan,Datos generales,nan,0,661,España,Número de empleados,nan,Unidades,0.0,23310,0.0,0.0,0.0
10070,2014-01-01,Vodafone,nan,Datos generales,nan,0,3332,España,Gastos de explotación,nan,Millones de euros,3980.64,36340,0.0,816.82,128.09
2014,2014-01-01,Otros,nan,Datos generales,nan,0,643,España,Gastos de explotación,nan,Millones de euros,0.0,0,0.0,0.0,12.44
2014,2014-01-01,Nan,Servicio mayorista,Datos generales,Alquiler de circuitos,67708,670,España,Ingresos,nan,Millones de euros,0.0,0,0.0,0.0,0.0
2014,2014-01-01,Nan,Servicio minorista,Datos generales,Banda Ancha móvil,361477,685,España,Ingresos,nan,Millones de euros,0.0,0,0.0,0.0,0.0
2014,2014-01-01,Nan,Servicio minorista,Datos generales,Banda ancha fija,364107,684,España,Ingresos,nan,Millones de euros,0.0,0,0.0,0.0,0.0
2014,2014-01-01,Nan,Servicio mayorista,Datos generales,Banda ancha fija mayorista,69922,671,España,Ingresos,nan,Millones de euros,0.0,0,0.0,0.0,0.0
2014,2014-01-01,Nan,Servicio minorista,Datos generales,Comunicaciones de Empresa,143757,686,España,Ingresos,nan,Millones de euros,0.0,0,0.0,0.0,0.0
2014,2014-01-01,Nan,Servicio mayorista,Datos generales,Contenidos audiovisuales,28076,672,España,Ingresos,nan,Millones de euros,0.0,0,0.0,0.0,0.0
2014,2014-01-01,Nan,Servicio mayorista,Datos generales,Interconexión fija,147442,673,España,Ingresos,nan,Millones de euros,0.0,0,0.0,0.0,0.0
2014,2014-01-01,Nan,Servicio mayorista,Datos generales,Interconexión móvil,140389,674,España,Ingresos,nan,Millones de euros,0.0,0,0.0,0.0,0.0
2014,2014-01-01,Nan,Servicio mayorista,Datos generales,Otros servicios mayoristas,67884,675,España,Ingresos,nan,Millones de euros,0.0,0,0.0,0.0,0.0
2014,2014-01-01,Nan,Servicio minorista,Datos generales,Otros servicios minoristas,121479,687,España,Ingresos,nan,Millones de euros,0.0,0,0.0,0.0,0.0
2014,2014-01-01,Nan,Servicio minorista,Datos generales,Servicios audiovisuales,350565,688,España,Ingresos,nan,Millones de euros,0.0,0,0.0,0.0,0.0
2014,2014-01-01,Nan,Servicio minorista,Datos generales,Servicios de información telefónica,3138,689,España,Ingresos,nan,Millones de euros,0.0,0,0.0,0.0,0.0
2014,2014-01-01,Nan,Servicio minorista,Datos generales,Telefonía fija,344902,690,España,Ingresos,nan,Millones de euros,0.0,0,0.0,0.0,0.0
2014,2014-01-01,Nan,Servicio minorista,Datos generales,Telefonía móvil,60166,691,España,Ingresos,nan,Millones de euros,0.0,0,0.0,0.0,0.0
2014,2014-01-01,Nan,Servicio mayorista,Datos generales,Transmisión de datos,5001,676,España,Ingresos,nan,Millones de euros,0.0,0,0.0,0.0,0.0
2014,2014-01-01,Nan,Servicio mayorista,Datos generales,Transporte y difusión de la señal audiovisual,35764,677,España,Ingresos,nan,Millones de euros,0.0,0,0.0,0.0,0.0
